origin,destination,landing_data,takeoff_data
KDFW,SBGR,20/01/2023 08:35,20/01/2023 08:35
KMIA,SBGR,19/01/2023 09:15,19/01/2023 09:15
SBGR,KMIA,20/01/2023 06:30,20/01/2023 06:30
KMIA,SBGR,21/01/2023 06:20,21/01/2023 06:20
SBGR,KMIA,21/01/2023 07:00,21/01/2023 07:00
SBGR,KJFK,21/01/2023 09:03,21/01/2023 09:03
KJFK,SBGR,20/01/2023 10:25,20/01/2023 10:25
SBGR,KDFW,21/01/2023 08:13,21/01/2023 08:13
KDFW,SBGR,21/01/2023 08:35,21/01/2023 08:35
KMIA,SBGR,20/01/2023 09:15,20/01/2023 09:15
SBGR,KMIA,21/01/2023 06:30,21/01/2023 06:30
KMIA,SBGR,22/01/2023 06:20,22/01/2023 06:20
SBGR,KMIA,22/01/2023 07:00,22/01/2023 07:00
KJFK,SBGR,21/01/2023 10:25,21/01/2023 10:25
KDFW,SBGR,22/01/2023 08:35,22/01/2023 08:35
KMIA,SBGR,21/01/2023 09:15,21/01/2023 09:15
SBGR,KMIA,22/01/2023 06:30,22/01/2023 06:30
KMIA,SBGR,23/01/2023 06:20,23/01/2023 06:20
SBGR,KMIA,23/01/2023 07:00,23/01/2023 07:00
SBGR,KJFK,23/01/2023 09:03,23/01/2023 09:03
KJFK,SBGR,22/01/2023 10:25,22/01/2023 10:25
SBGR,KDFW,23/01/2023 08:13,23/01/2023 08:13
KDFW,SBGR,23/01/2023 08:35,23/01/2023 08:35
KMIA,SBGR,22/01/2023 09:15,22/01/2023 09:15
SBGR,KMIA,23/01/2023 06:30,23/01/2023 06:30
KMIA,SBGR,24/01/2023 06:20,24/01/2023 06:20
SBGR,KMIA,24/01/2023 07:00,24/01/2023 07:00
SBGR,KJFK,24/01/2023 09:03,24/01/2023 09:03
KJFK,SBGR,23/01/2023 10:25,23/01/2023 10:25
SBGR,KDFW,24/01/2023 08:13,24/01/2023 08:13
KDFW,SBGR,24/01/2023 08:35,24/01/2023 08:35
KMIA,SBGR,23/01/2023 09:15,23/01/2023 09:15
SBGR,KMIA,24/01/2023 06:30,24/01/2023 06:30
KMIA,SBGR,25/01/2023 06:20,25/01/2023 06:20
SBGR,KMIA,25/01/2023 07:00,25/01/2023 07:00
SBGR,KJFK,25/01/2023 09:03,25/01/2023 09:03
KJFK,SBGR,24/01/2023 10:25,24/01/2023 10:25
SBGR,KDFW,25/01/2023 08:13,25/01/2023 08:13
KDFW,SBGR,25/01/2023 08:35,25/01/2023 08:35
KMIA,SBGR,24/01/2023 09:15,24/01/2023 09:15
SBGR,KMIA,25/01/2023 06:30,25/01/2023 06:30
KMIA,SBGR,26/01/2023 06:20,26/01/2023 06:20
SBGR,KMIA,26/01/2023 07:00,26/01/2023 07:00
SBGR,KJFK,26/01/2023 09:03,26/01/2023 09:03
KJFK,SBGR,25/01/2023 10:25,25/01/2023 10:25
SBGR,KDFW,26/01/2023 08:13,26/01/2023 08:13
KDFW,SBGR,26/01/2023 08:35,26/01/2023 08:35
KMIA,SBGR,25/01/2023 09:15,25/01/2023 09:15
SBGR,KMIA,26/01/2023 06:30,26/01/2023 06:30
KMIA,SBGR,27/01/2023 06:20,27/01/2023 06:20
SBGR,KMIA,27/01/2023 07:00,27/01/2023 07:00
SBGR,KJFK,27/01/2023 09:03,27/01/2023 09:03
KJFK,SBGR,26/01/2023 10:25,26/01/2023 10:25
SBGR,KDFW,27/01/2023 08:13,27/01/2023 08:13
KDFW,SBGR,27/01/2023 08:35,27/01/2023 08:35
KMIA,SBGR,26/01/2023 09:15,26/01/2023 09:15
SBGR,KMIA,27/01/2023 06:30,27/01/2023 06:30
KMIA,SBGR,28/01/2023 06:20,28/01/2023 06:20
SBGR,KMIA,28/01/2023 07:00,28/01/2023 07:00
SBGR,KJFK,28/01/2023 09:03,28/01/2023 09:03
KJFK,SBGR,27/01/2023 10:25,27/01/2023 10:25
SBGR,KDFW,28/01/2023 08:13,28/01/2023 08:13
KDFW,SBGR,28/01/2023 08:35,28/01/2023 08:35
KMIA,SBGR,27/01/2023 09:15,27/01/2023 09:15
SBGR,KMIA,28/01/2023 06:30,28/01/2023 06:30
KMIA,SBGR,29/01/2023 06:20,29/01/2023 06:20
SBGR,KMIA,29/01/2023 07:00,29/01/2023 07:00
KJFK,SBGR,28/01/2023 10:25,28/01/2023 10:25
KDFW,SBGR,29/01/2023 08:35,29/01/2023 08:35
KMIA,SBGR,28/01/2023 09:15,28/01/2023 09:15
SBGR,KMIA,29/01/2023 06:30,29/01/2023 06:30
KMIA,SBGR,30/01/2023 06:20,30/01/2023 06:20
SBGR,KMIA,30/01/2023 07:00,30/01/2023 07:00
SBGR,KJFK,30/01/2023 09:03,30/01/2023 09:03
KJFK,SBGR,29/01/2023 10:25,29/01/2023 10:25
SBGR,KDFW,30/01/2023 08:13,30/01/2023 08:13
KDFW,SBGR,30/01/2023 08:35,30/01/2023 08:35
KMIA,SBGR,29/01/2023 09:15,29/01/2023 09:15
SBGR,KMIA,30/01/2023 06:30,30/01/2023 06:30
KMIA,SBGR,31/01/2023 06:20,31/01/2023 06:20
SBGR,KMIA,31/01/2023 07:00,31/01/2023 07:00
SBGR,KJFK,31/01/2023 09:03,31/01/2023 09:03
KJFK,SBGR,30/01/2023 10:25,30/01/2023 10:25
SBGR,KDFW,31/01/2023 08:13,31/01/2023 08:13
KDFW,SBGR,31/01/2023 08:35,31/01/2023 08:35
KMIA,SBGR,30/01/2023 09:15,30/01/2023 09:15
SBGR,KMIA,31/01/2023 06:30,31/01/2023 06:30
KMIA,SBGR,01/02/2023 06:20,01/02/2023 06:20
SBGR,KMIA,01/02/2023 07:00,01/02/2023 07:00
SBGR,KJFK,01/02/2023 09:03,01/02/2023 09:03
KJFK,SBGR,31/01/2023 10:25,31/01/2023 10:25
SBGR,KDFW,01/02/2023 08:13,01/02/2023 08:13
KDFW,SBGR,01/02/2023 08:35,01/02/2023 08:35
KMIA,SBGR,31/01/2023 09:15,31/01/2023 09:15
EBBR,SBGR,03/01/2023 05:40,03/01/2023 05:40
EBBR,SBGR,03/01/2023 14:30,03/01/2023 14:30
EBBR,SBGR,07/01/2023 06:30,07/01/2023 06:30
EBBR,SBGR,13/01/2023 22:10,13/01/2023 22:10
EBBR,SBGR,16/01/2023 05:40,16/01/2023 05:40
EBBR,SBGR,17/01/2023 07:00,17/01/2023 07:00
CYYZ,SBGR,02/01/2023 09:30,02/01/2023 09:30
SBGR,CYYZ,02/01/2023 07:45,02/01/2023 07:45
SBGR,SAEZ,01/01/2023 14:20,01/01/2023 14:20
CYUL,SBGR,02/01/2023 09:25,02/01/2023 09:25
SBGR,CYUL,03/01/2023 08:10,03/01/2023 08:10
SAEZ,SBGR,01/01/2023 19:15,01/01/2023 19:15
CYYZ,SBGR,03/01/2023 09:30,03/01/2023 09:30
SBGR,CYYZ,03/01/2023 07:45,03/01/2023 07:45
CYUL,SBGR,03/01/2023 09:25,03/01/2023 09:25
SBGR,SAEZ,02/01/2023 14:20,02/01/2023 14:20
SBGR,CYUL,04/01/2023 08:10,04/01/2023 08:10
SAEZ,SBGR,02/01/2023 19:15,02/01/2023 19:15
CYYZ,SBGR,04/01/2023 09:30,04/01/2023 09:30
SBGR,CYYZ,04/01/2023 07:45,04/01/2023 07:45
SBGR,SAEZ,03/01/2023 14:20,03/01/2023 14:20
CYUL,SBGR,04/01/2023 09:25,04/01/2023 09:25
SBGR,CYUL,05/01/2023 08:10,05/01/2023 08:10
SAEZ,SBGR,03/01/2023 19:15,03/01/2023 19:15
CYYZ,SBGR,05/01/2023 09:30,05/01/2023 09:30
SBGR,CYYZ,05/01/2023 07:45,05/01/2023 07:45
